,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,pr=t
0,0.0,0.0069488826654598174,0.0,0.0,0.0,0.005685069450886845,0.0,0.006266132398912555,0.0,0.0,0.007466245707268975,0.0,0.007675644483867876,0.0,-0.012140308221133555,0.0,0.0,0.0031538734718333764,0.0,0.005555947854535753,0.0,0.00310769092565017,0.0,0.0,0.0,-0.011909248103819428,1
1,0.0,0.008583571851933352,0.0,0.0,0.0,0.006881362822395513,0.0,0.007965512864195744,0.0,0.0,0.009387975578007276,0.0,0.005843073023849117,0.0,0.0,0.01301522415574647,0.0,0.002979923360133513,0.0,0.006846872640543206,0.0,0.0,-0.004151733594091522,0.0,0.01279299399307212,0.0,1
2,0.0,0.006377272521499627,0.0,0.0,0.0,0.005878149114457802,0.0,0.005238688192058493,0.0,0.0,0.007421741796718039,0.0,0.005450961282659246,0.0,0.0,0.011127084820007498,0.0,0.0,-0.0036291476385136878,0.006198949443828718,0.0,0.0,-0.003386178241907041,0.0,0.011370113980223022,0.0,1
3,0.0,0.007555861145600167,0.0,0.0,0.0,0.006927859178037616,0.0,0.00914757347922709,0.0,0.0,0.007629367488092037,0.0,0.006419740071618025,0.0,0.0,0.014604185954563637,0.0,0.0,-0.006599988530906595,0.0066422702443740805,0.0,0.006980949871370276,0.0,0.0,0.013801194319610462,0.0,1
4,0.0,0.0,-0.00724887549371992,0.0,0.0,0.0,-0.005826090513547892,0.0,-0.006064019823653415,-0.0063329672400514615,0.0,-0.006275280163878018,0.0,0.0,-0.01194613611254294,0.0,0.0,0.0,-0.001634072518716343,0.0,-0.005988770864046549,0.0,-0.0008027418099178312,0.0,0.0,-0.011664387236692941,1
5,0.0,0.0,0.005292306822343731,0.0,0.0,0.0,0.007177950765678157,0.0,0.006279482769806267,0.007611141095298092,0.0,0.007258835587164881,0.0,0.0,0.011565372304811994,0.0,0.0,-0.002154997692690261,0.0,0.0,0.004948322775029699,-0.002743422520412356,0.0,0.0,0.0,0.011486259803848837,0
6,0.0,0.0,0.006013596550054031,0.0,0.0,0.0,0.004637138425336409,0.0,0.00596131489748761,0.007299397211257712,0.0,0.006178876823832865,0.0,0.0,0.0,-0.010320904299301494,0.0,-0.0010480757928398394,0.0,0.0,0.006946143924019375,0.0,0.0014431811303659498,0.0,-0.010657223404750303,0.0,0
7,0.0,0.0,0.0054022237742827,0.0,0.0,0.0,0.00643476994841596,0.0,0.005966850092582825,0.006604633238446339,0.0,0.007673575056117212,0.0,0.0,0.0,-0.01112205849548211,0.0,-0.0013560285733213617,0.0,0.0,0.005933666119492773,-0.001636745866947938,0.0,0.0,-0.011195025181732168,0.0,0
8,0.0,0.008252267032340959,0.0,0.0,0.0,0.004337900214360082,0.0,0.006102901945603111,0.0,0.0,0.0072177178956980975,0.0,0.006653424918609678,0.0,-0.012089062683115815,0.0,0.0,0.0,-0.0013321398028686385,0.008601018243759688,0.0,0.0,-0.00171514978733918,0.0,0.0,-0.012457557669015224,1
9,0.0,0.0,-0.006712420126674012,0.0,0.0,0.0,-0.005306169793903262,0.0,-0.0066140437933128815,-0.007017349674452048,0.0,-0.006420922441720218,0.0,0.0,-0.011017885566651871,0.0,0.0,0.0,0.0008146416274020257,0.0,-0.006090425435796745,-0.0004264417132123555,0.0,0.0,0.0,-0.011191640496972634,1
10,0.0,0.004267235267307368,0.0,0.0,0.0,0.004904561831854464,0.0,0.005983597792625338,0.0,0.0,0.004841349178945521,0.0,0.0074727005208280435,0.0,0.0,0.010489977566038759,0.0,0.002881092197151467,0.0,0.005043166580529499,0.0,0.002795553193498398,0.0,0.0,0.00986347317018254,0.0,1
11,0.0,0.006337335329493872,0.0,0.0,0.0,0.0066972717818588445,0.0,0.006856474487473022,0.0,0.0,0.007567481518122454,0.0,0.006735383012229306,0.0,-0.012101491185785533,0.0,0.0,0.0012349603019509736,0.0,0.006762370612364206,0.0,0.0,-0.0013080155233258118,0.0,0.0,-0.012202729320625695,1
12,0.0,0.0,-0.008000982104154614,0.0,0.0,0.0,-0.006360538534710264,0.0,-0.005497851889702436,-0.006679996868771614,0.0,-0.004977629991971449,0.0,0.0,-0.011601062570630694,0.0,0.0,0.0008585126668277974,0.0,0.0,-0.007840332144530214,0.0,-0.0007053558261966185,0.0,0.0,-0.012074188117380206,1
13,0.0,0.007091638084469184,0.0,0.0,0.0,0.007670148558282077,0.0,0.0069408039297970976,0.0,0.0,0.00681225401683532,0.0,0.007734040226374849,0.0,-0.012918497323010935,0.0,0.0,0.0,-0.002809675209597304,0.0071437758844559275,0.0,0.002452312884731166,0.0,0.0,0.0,-0.012698113991171345,1
14,0.0,0.0,0.006610503868372721,0.0,0.0,0.0,0.008186218102970287,0.0,0.007256653790258691,0.006948279853453618,0.0,0.008451222811084345,0.0,0.0,0.0,-0.013244823987726514,0.0,0.0,0.0027775304594551526,0.0,0.008065578269705886,0.0,0.002868258217526094,0.0,-0.01351983925351602,0.0,0
15,0.0,0.0,0.005422590919522905,0.0,0.0,0.0,0.006422269227118772,0.0,0.006196757825175474,0.005596743611216391,0.0,0.006445298535086769,0.0,0.0,0.0,-0.011167325925916073,0.0,0.0,0.0021806905988882887,0.0,0.005796679948288573,-0.0021547767287220473,0.0,0.0,-0.010936525199614645,0.0,0
