;0.00 < Send Notification by Phone <= 1.00;Low Medical History <= 0.00;0.00 < Send Notification by Post <= 1.00;0.00 < Contact Hospital <= 1.00;0.00 < High Medical History <= 1.00;0.00 < Receive Questionnaire Response <= 1.00;Low Insurance Check <= 0.00;0.00 < High Insurance Check <= 1.00;Skip Questionnaire <= 0.00;0.00 < Send Notification by e-mail <= 1.00;Archive <= 1.00;Prepare Notification Content <= 1.00;Create Questionnaire <= 1.00;Decide claim <= 1.00;Register <= 1.00;Send Questionnaire <= 1.00;Send Notification by Phone <= 0.00;0.00 < Low Medical History <= 1.00;Send Notification by Post <= 0.00;High Insurance Check <= 0.00;High Medical History <= 0.00;Contact Hospital <= 0.00;Receive Questionnaire Response <= 0.00;0.00 < Low Insurance Check <= 1.00;0.00 < Skip Questionnaire <= 1.00;Send Notification by e-mail <= 0.00;prediction
0;-0.141334775;0.053221789;0.046363587;0.034780671;0.034330259;-0.032060296;0.031024186;0.026408441;-0.014194266;0.004599864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.155367944;-0.056550395;-0.050493678;-0.042838632;-0.035391523;-0.033210703;0.031276249;-0.030584958;0.009204778;0.002454447;0
2;0.143634101;-0.057305679;-0.050352002;-0.036052683;-0.035810136;0;-0.030438159;-0.036353703;0;-0.003219963;0;0;0;0;0;0;0;0;0;0;0;0;-0.03491528;0;-0.013743903;0;1
3;0.153124616;-0.059439108;-0.048791556;-0.031294248;-0.038032826;0;-0.034157819;-0.03368834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.032809787;0;-0.011862988;0.010495585;1
4;0;0.058928964;0.047932923;0.040469848;0.041182494;-0.041100861;0.032273365;0.038159788;-0.015163558;-0.008554368;0;0;0;0;0;0;0.138079094;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.155952576;-0.054474735;-0.051281388;-0.032999348;-0.037451125;-0.034834939;0.034663517;-0.036809304;0.011965527;0.001192184;0
6;-0.149275463;0.061685179;0.050934123;0.031227779;0.036424374;-0.030566996;0.028752473;0.034203126;-0.017443914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00428706;0
7;0;0.056354586;0.044738078;0.034370276;0.036491704;-0.033475844;0.032202956;0.034458904;-0.015657547;0;0;0;0;0;0;0;0.14789833;0;0;0;0;0;0;0;0;5.06E-05;0
8;0.14129888;0;0;0;0;0;0;0;0;-0.009420649;0;0;0;0;0;0;0;0.055297813;0.047788723;0.044691729;0.039491351;0.039027135;-0.027899949;0.030668768;-0.010504165;0;1
9;0.14144127;0;0;0;0;0.035019874;0;0;0.010464294;0;0;0;0;0;0;0;0;0.057656785;0.048966514;0.040624966;0.03978564;0.031143769;0;0.032308793;0;0.009404027;1
